significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse,rms_relative_energy_error
8,0.00390625,64,1.5625,128,1.4875622486398956,2.212841443578583,2.205956412722246,2.2122968767173745,0.0005445668612082962,0.0005488547892493062,2.2065052675114956,0.6018170392741365
8,0.00390625,91,1.098901098901099,128,0.3258333686700974,0.10616738413890359,0.10479737910878975,0.10553183843811509,0.0006355457007884979,0.0006405499976451003,0.10543792910643485,0.20229134569382531
8,0.00390625,128,0.78125,128,1.911956975485436,3.6555794761074156,3.673395357862124,3.6548249502224297,0.0007545258849859238,0.000760467033686601,3.6741558248958106,0.11490339122925378
8,0.00390625,181,0.5524861878453039,128,1.1953599815262195,1.4288854854343636,1.4328602304922946,1.4278594855381352,0.0010259998962283134,0.0010340786355686944,1.4338943091278633,0.068791587337958
8,0.00390625,256,0.390625,128,0.6338572947472997,0.4017750701043651,0.4013816543506467,0.4003539297284687,0.001421140375896357,0.0014323304575963286,0.40281398480824304,0.06321944105702905
8,0.00390625,362,0.27624309392265195,128,0.32402173185681865,0.10499008271549208,0.10317775364611904,0.10273177075837119,0.0022583119571208954,0.0022760939410352327,0.10545384758715427,0.07998699982948841
8,0.00390625,512,0.1953125,128,0.1735518440543485,0.030120242574664904,0.025929028886009182,0.026713953541073157,0.0034062890335917473,0.0034331102070845965,0.029362139093093778,0.10339497899867296
8,0.00390625,724,0.13812154696132597,128,0.10650537099019937,0.011343394049760001,0.0064898465478193355,0.0065167673093639794,0.004826626740396023,0.004864631675359771,0.011354478223179107,0.11783561397940799
8,0.00390625,1024,0.09765625,128,0.09241966357742383,0.0085413942157642,0.0016215248428259326,0.0021820612761543146,0.006359332939609886,0.006409406427323348,0.008030931270149281,0.13609995541282793
8,0.00390625,1448,0.06906077348066299,128,0.1116209757758043,0.01245924223314269,0.00040547099949445617,0.0002772991834883244,0.012181943049654365,0.012277863861068966,0.012683334860563422,0.19411475471827402
