duration,significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse
25.0,16,1.52587890625e-05,4750,0.005263157894736842,512,0.0006363039204335176,4.048826791590642e-07,8.59037326072195e-10,7.958267910290082e-10,4.040868523680352e-07,4.048776289871507e-07,4.057366663132229e-07
25.0,16,1.52587890625e-05,4875,0.005128205128205128,512,0.0006434881212111974,4.1407696213991677e-07,7.742621038896552e-10,2.1287559262086816e-09,4.119482062137081e-07,4.1275436708692474e-07,4.135286291908144e-07
25.0,16,1.52587890625e-05,5000,0.005,512,0.0006724211857871197,4.521502510953562e-07,6.996913021822748e-10,2.794285325019012e-09,4.493559657703372e-07,4.5023533165247095e-07,4.5093502295465323e-07
50.0,16,1.52587890625e-05,1750,0.02857142857142857,512,0.001746708359650474,3.050990093672849e-06,2.9809088477957363e-06,2.9077028664783717e-06,1.432872271944774e-07,1.435676327271476e-07,3.124476480522884e-06
50.0,16,1.52587890625e-05,2000,0.025,512,0.0013798139675016423,1.903886584912623e-06,1.7473535149212971e-06,1.728478342315082e-06,1.7540824259754118e-07,1.757515072601587e-07,1.9231050221814557e-06
50.0,16,1.52587890625e-05,2250,0.022222222222222223,512,0.0011208969981084862,1.2564100803686155e-06,1.090863949500023e-06,1.0734733454970406e-06,1.829367348715749e-07,1.8329473239578542e-07,1.2741586818958084e-06
50.0,16,1.52587890625e-05,2500,0.02,512,0.0009717668431821736,9.443307975082472e-07,7.157157134667841e-07,7.243759787051441e-07,2.1995481880310308e-07,2.2038525876162188e-07,9.36100972228406e-07
50.0,16,1.52587890625e-05,2750,0.01818181818181818,512,0.0008480598823696886,7.1920556408489e-07,4.888433971246704e-07,4.974467032549108e-07,2.217588608299792e-07,2.2219283120342339e-07,7.110362283280937e-07
50.0,16,1.52587890625e-05,3000,0.016666666666666666,512,0.0007801308737547002,6.086041801852719e-07,3.451560294324364e-07,3.483085908803123e-07,2.6029558930495966e-07,2.6080497401984217e-07,6.059610034522786e-07
50.0,16,1.52587890625e-05,3250,0.015384615384615385,512,0.0007337290275698255,5.383582858985618e-07,2.505918850029954e-07,2.4955772398906493e-07,2.888005619094969e-07,2.893657293496329e-07,5.399576143526283e-07
